MatchID;MMR;radiant_win;radiant_pick;dire_pick
4957283414;5406;True;71,16,22,8,39;21,27,70,36,104
4957297018;4900;False;100,76,95,20,31;102,25,101,32,104
4957302805;7619;True;85,86,14,53,32;84,68,74,114,54
4957305600;5203;False;23,38,95,46,26;83,21,76,8,78
4957319712;6703;True;37,104,106,8,110;71,58,62,105,70
4957321008;5370;True;109,27,75,9,29;8,120,25,83,28
4957322918;4785;False;28,79,26,44,25;11,72,50,91,129
4957327508;5927;False;50,21,1,86,23;52,10,26,84,18
4957327600;5821;False;41,121,28,31,75;19,50,74,87,89
4957333214;5175;True;95,87,32,52,14;93,7,110,10,96
4957334512;5881;False;61,129,70,5,19;74,40,84,93,78
4957345108;5382;False;2,25,93,75,37;109,4,14,57,26
4957352302;6153;False;33,18,31,129,22;121,74,8,86,84
4957354904;5316;False;5,13,84,101,70;89,21,74,11,20
4957355301;5261;False;44,99,64,34,26;102,129,21,5,56
4957356700;5749;True;67,16,34,25,121;107,129,73,84,95
4957358803;6748;True;22,19,120,101,93;7,21,109,112,17
4957371507;6101;False;120,83,60,36,93;50,62,74,66,77
4957374700;4750;True;26,91,72,102,76;42,71,121,11,55
4957375101;5540;True;10,93,52,84,7;19,1,106,111,74
4957378208;5921;True;21,87,93,96,43;10,114,31,36,25
4957378805;5705;True;68,93,105,19,74;16,72,83,61,91
4957379915;5620;False;46,25,93,129,121;75,74,111,41,104
4957383304;5801;True;14,87,129,82,93;28,41,98,5,99
4957388404;4582;False;1,20,17,100,84;85,60,5,101,104
4957388519;6947;True;70,86,22,129,25;2,5,74,21,54
4957400400;5928;False;74,54,86,5,16;110,97,9,44,19
4957400501;6204;True;3,25,106,2,44;114,30,76,86,16
4957401618;6224;True;25,73,3,98,90;114,7,64,60,89
4957406111;6710;True;83,81,73,105,38;39,89,40,101,36
4957406607;4757;True;41,25,14,66,74;93,105,53,114,19
4957407812;6360;True;104,48,71,64,110;16,33,76,5,21
4957421706;5371;False;7,4,3,62,61;64,109,104,101,25
4957421716;4564;True;91,86,25,14,72;3,120,35,89,74
4957425907;6273;False;68,19,96,10,42;80,74,30,17,54
4957426116;5813;True;13,107,27,21,54;5,74,86,93,14
4957431600;3846;False;93,101,65,26,58;57,9,73,61,129
4957431708;5988;False;34,99,114,86,5;61,26,44,120,2
4957433609;5307;True;96,62,93,20,61;18,32,52,70,3
4957435610;4819;False;39,2,110,32,76;91,40,11,72,19
4957436811;5551;False;93,91,74,114,2;8,27,86,46,104
4957439806;5303;True;77,110,30,74,70;34,21,8,62,3
4957447805;5567;False;13,84,79,93,25;1,37,60,52,101
4957451603;6763;True;67,57,64,48,46;22,104,54,25,30
4957451712;5175;True;3,92,129,107,44;21,121,54,45,31
4957455004;5418;True;35,86,129,3,6;82,54,14,104,64
4957457612;5782;True;7,58,23,1,5;129,73,75,112,54
4957467208;4769;True;88,21,76,2,93;111,28,8,73,74
4957472907;6311;False;104,74,112,41,107;114,11,16,79,7
4957473214;5334;False;58,64,51,54,11;65,121,39,93,9
4957473813;5703;True;21,73,3,62,113;110,76,105,67,71
4957480514;6888;True;73,64,120,25,96;93,121,107,76,21
4957481104;5169;True;57,4,23,86,70;110,50,19,93,15
4957481311;5371;False;113,129,15,5,25;104,54,84,13,45
4957482308;6254;False;58,68,34,101,93;39,72,2,3,91
4957482310;5222;True;74,93,16,121,86;96,106,91,84,48
4957484807;5027;False;76,31,119,19,41;120,93,26,113,65
4957488403;7765;True;27,50,71,12,61;79,74,95,85,16
4957490701;5390;True;107,1,3,105,129;23,68,93,7,16
4957492305;5692;False;40,31,76,73,104;99,27,93,113,25
4957496605;5270;True;30,85,14,99,4;27,93,17,33,101
4957499003;6252;True;46,74,3,57,8;39,93,5,21,81
4957501009;5127;False;4,19,26,21,111;112,11,58,105,42
4957503602;5431;True;41,98,26,32,105;46,27,71,104,8
4957504803;5229;True;66,21,78,106,25;4,64,65,58,95
4957506108;4947;False;74,27,31,106,38;120,5,95,121,59
4957506419;5255;False;112,33,75,109,120;17,9,106,86,16
4957506507;5758;True;17,121,19,87,18;72,91,79,16,106
4957519519;6613;True;17,62,19,30,73;25,109,102,75,76
4957521009;5457;False;114,16,93,84,19;74,37,83,1,42
4957522000;5430;True;76,105,5,10,129;8,33,91,14,46
4957523418;4527;True;92,53,64,38,42;105,18,50,61,28
4957523605;4724;True;95,121,120,70,13;96,110,112,41,106
4957531200;4715;True;58,36,100,79,46;25,104,93,19,121
4957531916;7476;True;97,44,36,111,101;8,96,121,19,73
